Resistencia (Ohm);Temperatura (°C)
79422;30
72560;32
66356;34
60743;36
55658;38
51048;40
46863;42
43062;44
39605;46
36458;48
33591;50
30976;52
28590;54
26409;56
24415;58
22590;60
20919;62
19386;64
17980;66
16689;68
15502;70
14410;72
13405;74
12479;76
11625;78
10837;80
10100;82
9437.7;84
8816.0;86
8240.6;88
7707.7;90
7214.0;92
6755.9;94
6330.8;96
5936.1;98
5569.3;100
5228.1;102
4910.7;104
4615.1;106
4339.7;108
4082.9;110
3843.4;112
3619.8;114
3411.0;116
3215.8;118
3033.3;120
2862.5;122
2702.7;124
2553.0;126
2412.6;128
2281.0;130
2157.6;132
2041.7;134
